State,Year,Consumption
NSW,2007,27530
NSW,2008,28822
NSW,2009,29097
NSW,2010,29357
NSW,2011,31381
NSW,2012,31243
NSW,2013,32963
NSW,2014,34834
NSW,2015,35888
NSW,2016,37612
NSW,2017,40034
NSW,2018,44681
NSW,2019,46602
NSW,2020,36632
NSW,2021,25359
NSW,2022,25470
NSW,2023,48686
Vic,2007,18215
Vic,2008,19674
Vic,2009,20765
Vic,2010,20839
Vic,2011,22060
Vic,2012,23042
Vic,2013,24025
Vic,2014,25029
Vic,2015,26358
Vic,2016,28366
Vic,2017,31066
Vic,2018,33336
Vic,2019,36211
Vic,2020,28701
Vic,2021,13316
Vic,2022,20431
Vic,2023,36646
Qld,2007,23305
Qld,2008,24812
Qld,2009,24371
Qld,2010,23717
Qld,2011,23375
Qld,2012,26462
Qld,2013,27857
Qld,2014,27448
Qld,2015,27418
Qld,2016,29440
Qld,2017,30195
Qld,2018,33445
Qld,2019,34667
Qld,2020,27731
Qld,2021,20526
Qld,2022,25441
Qld,2023,40520
SA,2007,5476
SA,2008,5693
SA,2009,6147
SA,2010,6357
SA,2011,6473
SA,2012,6365
SA,2013,6414
SA,2014,6994
SA,2015,7625
SA,2016,7673
SA,2017,7878
SA,2018,8397
SA,2019,9007
SA,2020,7498
SA,2021,6083
SA,2022,6245
SA,2023,10266
WA,2007,9520
WA,2008,9805
WA,2009,9333
WA,2010,9104
WA,2011,9497
WA,2012,10838
WA,2013,11382
WA,2014,13252
WA,2015,14480
WA,2016,15199
WA,2017,14934
WA,2018,13275
WA,2019,15112
WA,2020,12825
WA,2021,9143
WA,2022,11079
WA,2023,17222
Tas,2007,2720
Tas,2008,2751
Tas,2009,2753
Tas,2010,3123
Tas,2011,2735
Tas,2012,2898
Tas,2013,3130
Tas,2014,3125
Tas,2015,3284
Tas,2016,3329
Tas,2017,4034
Tas,2018,4102
Tas,2019,4509
Tas,2020,3660
Tas,2021,2820
Tas,2022,3375
Tas,2023,4502
NT,2007,2742
NT,2008,2447
NT,2009,2726
NT,2010,2548
NT,2011,2264
NT,2012,2317
NT,2013,2380
NT,2014,2612
NT,2015,2994
NT,2016,2954
NT,2017,3174
NT,2018,2813
NT,2019,3147
NT,2020,2262
NT,2021,1632
NT,2022,2159
NT,2023,3267
ACT,2007,1737
ACT,2008,1881
ACT,2009,1714
ACT,2010,2072
ACT,2011,1858
ACT,2012,2035
ACT,2013,2254
ACT,2014,2203
ACT,2015,2513
ACT,2016,2539
ACT,2017,2764
ACT,2018,3120
ACT,2019,3090
ACT,2020,2202
ACT,2021,1494
ACT,2022,1758
ACT,2023,3417

